Kullanici,Tarih,Puan,Yorum,Marka,Urun,Kaynak_Dosya
Ş** E**,1713775187330,5,"Ürün hiç kusma yapmadı,kapatıcılığı ve kalıcılığı mükemmel . Bu fiyata göre mükemmel bir ürün. Buğday tenliyim light oldu anca. Koyu olanı mecburen iade edeceğim. Efsane bir fondöten",Arap Makyaj Dünyası,Arap Makyaj Dünyası Fondöten,arap_makyaj_dunyasi_fondoten_yorumlari.csv
**** ****,1711625343227,5,Ayyy aymiranın önerisiyle aldım mükemmellll,Arap Makyaj Dünyası,Arap Makyaj Dünyası Fondöten,arap_makyaj_dunyasi_fondoten_yorumlari.csv
K** V**,1720463669372,5,gerçekten harika bir ürün sosyal medyada kullanlar memnun kalanlar vardı onlardan gördüm denemek istedim bugün geldi yanında hediye için de tşk ederim gerçekten tek adresim olabilir artık Arap makyaj dünyası..❤️,Arap Makyaj Dünyası,Arap Makyaj Dünyası Fondöten,arap_makyaj_dunyasi_fondoten_yorumlari.csv
A** ç**,1713440835381,5,çok beğendim fresh bı görüntü oldu yorumlarda bı ton koyu deniyodu ama gayette kendi tonu ben light aldım açık biraz ama yinede çok beğendim üreticisine satıcısına teşekkürler,Arap Makyaj Dünyası,Arap Makyaj Dünyası Fondöten,arap_makyaj_dunyasi_fondoten_yorumlari.csv
L** U**,1742891313726,5,hic bulaşmıo çok de güzel kapatio tam aradım ürün resmen bebek gbi yapioooooo alınan aldirinnnnn,Arap Makyaj Dünyası,Arap Makyaj Dünyası Fondöten,arap_makyaj_dunyasi_fondoten_yorumlari.csv
b** d**,1713357525142,5,Ürün elime hızlıca ve güzel paketlenmiş şekilde ulaştı.Cildimde de ağırlık yapmadı ve sarışin biri olarak light tam cilt tonuma oturdu.Hediye içinde teşekkürler 🌸,Arap Makyaj Dünyası,Arap Makyaj Dünyası Fondöten,arap_makyaj_dunyasi_fondoten_yorumlari.csv
B** E**,1713922105514,5,"cildiniz yağlı veya kuru fark etmez inanılmaz sağlıklı bir duruşu var , yoğunluğu yüksek yani bir pompa ile tüm yüzünüzü kapatabilirsiniz. sivilce yapmıyor , oksitlenme yapmıyor gerçek bir f/p. günlük kullanıma da uygun minik minik uygulayarak ilerleyebilirsiniz",Arap Makyaj Dünyası,Arap Makyaj Dünyası Fondöten,arap_makyaj_dunyasi_fondoten_yorumlari.csv
**** ****,1717254203430,5,Tek kelimeyle harika bundan sonra hep bu markayı bu ürünü  kullanıcam Çokkkl teşekkürler  bu fiyata bukadar ..Güzel bir urun herkese  tavsiye ederim,Arap Makyaj Dünyası,Arap Makyaj Dünyası Fondöten,arap_makyaj_dunyasi_fondoten_yorumlari.csv
Türkan E.,1721300149003,5,Gerçekten bu kadar övgüyü hak ediyor mükemmel bi ürün açık buğday tenliyim lıght olan tende güzel duruyor tende bütünleşiyor bütürlük yok göz altında çizgiye dolma yok bayıldım 5 yıldızdan fazlasını hak ediyor alın aldırın pişman olmazsınız.,Arap Makyaj Dünyası,Arap Makyaj Dünyası Fondöten,arap_makyaj_dunyasi_fondoten_yorumlari.csv
e** m** ş**,1720174467630,5,ürünü denedim bayıldım kesinlikle alın aldırın başta koyu sandim elimde denedim ama yüzüme surdugumde bebek gibi durdu kokusuda güzel alınır 2 kez sipariş verdim kesinlikle çok güzel,Arap Makyaj Dünyası,Arap Makyaj Dünyası Fondöten,arap_makyaj_dunyasi_fondoten_yorumlari.csv
